Name,Class,Minis,Launched,Rebuilt,Nationality,Type,Primary Number,Primary Bore,Secondary Number,Secondary Bore,Torpedo Tubes,Belt,Deck,Turret,Mines,Aircraft,Speed,Tonnage,Torpedo Class,Main Turrets,Torpedo Tube Layout,Notes
"Acheron, Archer, Ariel",I,0,1911,1911,British,Destroyer,2,4,2,3,2,0,0,0,0,0,28,780,B,1F 1A,Center-line,
"Firedrake, Lurcher, Oak","Special I",0,1912,1912,British,Destroyer,2,4,2,3,2,0,0,0,0,0,34,790,B,1F 1A,Center-line,
"Acosta, Achates, Ambuscade, Ardent, Christopher, Cockatrice, Contest, Fortune, Garland, Hardy, Lynx, Midge, Owl, Paragon, Porpoise, Shark, Sparrowhawk, Spitfire, Unity, Victor",K,12,1911,1911,British,Destroyer,3,4,1,1.5,2,0,0,0,0,0,30,934,B,1F 1W 1w 1A,Center-line,
"Laertes, Laforey, Lance, Landrail, Lark, Lasso, Laurel, Laverock, Lawford,  Lennox, Legion, Leonidas, Liberty, Linnet, Llewellyn, Lochinvar, Lookout, Louise, Loyal, Lucifer, Lydiard, Lysander",L,12,1913,1913,British,Destroyer,3,4,1,1.5,4,0,0,0,0,0,29,965,B,1F 1W 1w 1A,Center-line,
"Parramatta, Yarra, Warrego, Huon",River,0,1910,1910,Australian,Destroyer,1,4,3,3,3,0,0,0,0,0,26,700,B,1F 1w 1w 1a,Center-line,
"Restless, Radstock, Raider",R,0,1916,1916,British,Destroyer,3,4,1,2,4,0,0,0,0,0,36,1056,B,1F 1W 1w 1A,Center-line,
"Acorn, Alarm, Brisk, Cameleon, Comet, Fury, Goldfinch, Hope, Lame, Lyra, Martin, Minstrel, Nemesis, Nereide, Nymphe, Redpole, Rifleman, Ruby, Sheldrake, Staunch",H,4,1910,1910,British,Destroyer,2,4,2,3,2,0,0,0,0,0,28,780,B,1F 1A,Center-line,
"Marne, Mons, Michael, Milbrook, Minion, Munster, Mystic, Maenad, Magic",Admiralty M,16,1915,1915,British,Destroyer,3,4,2,1.6,2,0,0,0,0,0,34,1000,B,1F 1W 1w 1A,Center-line,
