Name,Class,Minis,Launched,Rebuilt,Nationality,Type,Primary Number,Primary Bore,Secondary Number,Secondary Bore,Torpedo Tubes,Belt,Deck,Turret,Mines,Aircraft,Speed,Tonnage,Torpedo Class,Main Turrets,Torpedo Tube Layout,Notes
"Charles Astic, Richard Bagley, John Clay, Festing Grindall",Steel Drifter,0,1917,1917,British,Drifter,1,2,0,0,0,0,0,0,0,0,9,199,A,1F,,
"Cordella, Farnella, Junella, Northella, Pict",Cordella,0,1973,1973,British,Deep-ocean trawler,1,2,0,0,0,0,0,0,0,0,9,1238,A,1F,,
"Luceric, Bothwell, Orteric, Comeric, Linerton, Mabriton, Koranton, Hatimura, Bosworth, Radnorshire, City of Melbourne","Standard F",0,1917,1917,,Merchantman,0,0,0,0,0,0,0,0,0,0,9,1238,A,1F,,
