Name,Class,Launched,Rebuilt,Nationality,Type,Primary Number,Primary Bore,Secondary Number,Secondary Bore,Torpedo Tubes,Belt,Deck,Turret,Mines,Aircraft,Speed,Tonnage,Torpedo Class,Main Turrets,Notes,
"Pittsburgh, Huntington, San Diego, Pueblo, Frederick, Huron",Pittsburgh,1905,1905,USA,Armored Cruiser,4,8,14,6,2,6,4,3.8,0,0,22,13680,B,1F 1A,"1 Port, 1 Stbd, all submerged","Pittsburgh (ex- Pennsylvannia), Huntington (ex-West Virginia), San Diego (ex-California), Pueblo (ex-Colorado), Frederick(ex-Maryland), Huron (ex-South Dakota), "
"Memphis, Seattle, Charlotte, Missoula",Memphis,1907,1907,USA,Armored Cruiser,4,10,16,6,4,5,3,5,0,0,22,14500,B,1F 1A,"2 Port, 2 Stbd, all submerged","Renamed states to cities in 1918, Memphis (ex-Tennessee), Seattle (ex-Washington), Charlotte (ex-Memphiis), Missoula (ex-Montana)"
"St. Louis, Milwaukee, Charleston",St. Louis,1905,1906,USA,Protected Cruiser,14,6,18,3,0,4,3,0,0,0,22,9700,B,All casemate,,
"Chester, Birmingham, Salem",Chester,1908,1908,USA,Scout Cruiser,2,5,6,3,2,0,2,0,0,0,24,3750,B,1F 1A,"1 Port, 1 Stbd, all submerged",
